0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:10:24 +0900] "GET /dalboo/choiceAde.cf?store_num=3 HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:10:24 +0900] "GET /dalboo/resources/materialuploadFiles/20210207172210.jpg HTTP/1.1" 200 28088
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:10:24 +0900] "GET /dalboo/resources/materialuploadFiles/20210207172252.jpg HTTP/1.1" 200 26544
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:10:24 +0900] "GET /dalboo/resources/materialuploadFiles/20210207172303.jpg HTTP/1.1" 200 27728
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:10:24 +0900] "GET /dalboo/resources/materialuploadFiles/20210207172230.jpg HTTP/1.1" 200 27673
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:10:24 +0900] "GET /dalboo/resources/materialuploadFiles/20210207172316.jpg HTTP/1.1" 200 26279
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:10:24 +0900] "GET /dalboo/resources/materialuploadFiles/20210207172240.jpg HTTP/1.1" 200 28347
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:10:54 +0900] "GET /dalboo/soCartInsertBack.cf?select_stockNum=11,15&m_id=Dalpong2&store_num=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:10:54 +0900] "GET /dalboo/siren_order.cf?store_num=3 HTTP/1.1" 200 15935
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:10:56 +0900] "GET /dalboo/choiceDessert.cf?store_num=3 HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:10:56 +0900] "GET /dalboo/resources/materialuploadFiles/20210207172414.jpg HTTP/1.1" 200 32312
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:10:56 +0900] "GET /dalboo/resources/materialuploadFiles/20210207172351.jpg HTTP/1.1" 200 31581
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:10:56 +0900] "GET /dalboo/resources/materialuploadFiles/20210207172402.jpg HTTP/1.1" 200 45449
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:10:56 +0900] "GET /dalboo/resources/materialuploadFiles/20210207172429.jpg HTTP/1.1" 200 33396
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:11:07 +0900] "GET /dalboo/soCartInsertGo.cf?select_stockNum=18,19&m_id=Dalpong2&store_num=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:11:07 +0900] "GET /dalboo/soCartList.cf?store_num=3&m_id=Dalpong2 HTTP/1.1" 200 18203
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:11:07 +0900] "GET /dalboo/resources/css/order/sirenorder_order.css HTTP/1.1" 200 2229
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:11:11 +0900] "POST /dalboo/plus.cf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:11:11 +0900] "GET /dalboo/soCartList.cf?store_num=3&m_id=Dalpong2 HTTP/1.1" 200 18404
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:11:12 +0900] "POST /dalboo/plus.cf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:11:12 +0900] "GET /dalboo/soCartList.cf?store_num=3&m_id=Dalpong2 HTTP/1.1" 200 18404
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:11:12 +0900] "POST /dalboo/plus.cf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:11:12 +0900] "GET /dalboo/soCartList.cf?store_num=3&m_id=Dalpong2 HTTP/1.1" 200 18405
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:11:13 +0900] "POST /dalboo/minus.cf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:11:13 +0900] "GET /dalboo/soCartList.cf?store_num=3&m_id=Dalpong2 HTTP/1.1" 200 18404
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:11:14 +0900] "POST /dalboo/minus.cf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:11:14 +0900] "GET /dalboo/soCartList.cf?store_num=3&m_id=Dalpong2 HTTP/1.1" 200 18404
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:11:14 +0900] "POST /dalboo/minus.cf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:11:14 +0900] "GET /dalboo/soCartList.cf?store_num=3&m_id=Dalpong2 HTTP/1.1" 200 18203
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:12:11 +0900] "GET /dalboo/insertSirenOrder.cf?store_num=3&stock_num%5B%5D=11&stock_num%5B%5D=15&stock_num%5B%5D=18&stock_num%5B%5D=19&totalprice=9949&usingPoint=551 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:12:17 +0900] "GET /dalboo/updateStock.me?stock_num=11&so_cartAmount=1&stock_num=15&so_cartAmount=1&stock_num=18&so_cartAmount=1&stock_num=19&so_cartAmount=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:12:17 +0900] "GET /dalboo/coffeeOrderView.me HTTP/1.1" 200 9935
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:12:20 +0900] "GET /dalboo/resources/css/member/my_coffee_order_list.css HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:12:56 +0900] "GET /dalboo/myPage.me HTTP/1.1" 200 10806
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:12:56 +0900] "GET /dalboo/resources/images/coffeeorder.png HTTP/1.1" 200 6589
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:12:56 +0900] "GET /dalboo/resources/css/member/myPage.css HTTP/1.1" 200 1490
