192.168.0.1 - - [14/Apr/2021:23:20:42 +0900] "GET /dalboo/resources/images/MainSlideImg1.jpg HTTP/1.1" 200 97628
192.168.0.1 - - [14/Apr/2021:23:20:42 +0900] "GET /dalboo/resources/images/%EB%A9%94%EC%9D%B8%EC%B0%BD%EC%97%85%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 200 436231
192.168.0.1 - - [14/Apr/2021:23:20:42 +0900] "GET /dalboo/resources/images/MainVoteResult.png HTTP/1.1" 200 215585
192.168.0.1 - - [14/Apr/2021:23:20:42 +0900] "GET /dalboo/resources/images/MainSlideImg2.jpg HTTP/1.1" 200 136119
192.168.0.1 - - [14/Apr/2021:23:20:42 +0900] "GET /dalboo/resources/images/MainSlideImg3.jpg HTTP/1.1" 200 556324
192.168.0.1 - - [14/Apr/2021:23:20:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:52 +0900] "GET /dalboo/howtofind.bo HTTP/1.1" 200 10592
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:52 +0900] "GET /dalboo/resources/images/bus.png HTTP/1.1" 200 10058
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:52 +0900] "GET /dalboo/resources/images/green.png HTTP/1.1" 200 1812
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:52 +0900] "GET /dalboo/resources/images/blue.png HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:52 +0900] "GET /dalboo/resources/images/train.png HTTP/1.1" 200 16685
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:52 +0900] "GET /dalboo/resources/images/car.png HTTP/1.1" 200 12761
192.168.0.1 - - [14/Apr/2021:23:21:18 +0900] "GET /dalboo/ HTTP/1.1" 200 16013
192.168.0.1 - - [14/Apr/2021:23:21:18 +0900] "GET /dalboo/resources/css/common/base.css HTTP/1.1" 200 305
192.168.0.1 - - [14/Apr/2021:23:21:18 +0900] "GET /dalboo/resources/css/common/content.css HTTP/1.1" 200 166
192.168.0.1 - - [14/Apr/2021:23:21:18 +0900] "GET /dalboo/resources/css/common/footer.css HTTP/1.1" 200 542
192.168.0.1 - - [14/Apr/2021:23:21:18 +0900] "GET /dalboo/resources/css/common/nav.css HTTP/1.1" 200 1295
192.168.0.1 - - [14/Apr/2021:23:21:18 +0900] "GET /dalboo/resources/css/common/header.css HTTP/1.1" 200 447
192.168.0.1 - - [14/Apr/2021:23:21:18 +0900] "GET /dalboo/resources/css/common/mainPage.css HTTP/1.1" 200 4101
